unitname,description,procure_type,budgetyear,method,budget,approve_type,procure_status,approvedate,saler,product,approve_budget,country,period,editor,remark,file
ทบ.,สส. จัดหาเครื่องมือตรวจระบบเรดาร์ จำนวน 3 ชุด ,ซื้อ,59,พิเศษ,180000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-21,หจก.ไซแอนติ รีเสริช์,,,ประเทศไทย,,,30,
ทบ.,สส.  จัดหาระบบสื่อสารดาวเทียมแบบยุทธวิธีสนับสนุนหน่วยระดับกองพล จำนวน 3 ระบบ,ซื้อ,59,พิเศษ,105000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-22,บริษัท ล๊อกซเลย์ ไวร์เลส จำกัด,,,ประเทศไทย,,,31,
ทบ.,"สพ.ทบ. จัดหาปืนเล็กกล ขนาด 5.56 มม. แบบที่ 1 จำนวน 1,948 กระบอก",ซื้อ,59-61,พิเศษ,609466864,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-22,บริษัท ISRAEL WEAPON INDUSTRIES (IWI) LTD ,,,รัฐอิสราเอล,,,32,
ทบ.,สพ.ทบ. จ้างซ่อมปืนใหญ่กลางกระสุนวิถีโค้ง 37 ขนาด 155 มม. M109 A5 อัตตาจร จำนวน ๑๐ หน่วยยิง จ้างซ่อมรถสายพานบรรทุกกระสุน M992 A1 จำนวน 10 คัน,จ้าง,59,พิเศษ,460000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-24,บริษัท ฟิโก้ เทคโนโลยี เอ็นจีเนียริ่ง จำกัด,,,ประเทศไทย,,,33,
ทบ.,สพ.ทบ. จัดหารถยนต์บรรทุก ขนาด 2 1/2 ตัน จำนวน 404 คัน,ซื้อ,59-61,พิเศษ,1458945000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-24,บริษัท อิทธิพร อิมปอร์ จำกัด,,,ประเทศไทย,,,34,
ทบ.,"(สพ.ทบ.) ซื้อปืนกล 38 ขนาด 7.62 มม.จำนวน 1,359 กระบอก",ซื้อ,59-61,พิเศษ,1087200000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-23,บริษัท รอยัล ดีเฟนส์ จำกัด,,,ประเทศไทย,,,35,
ทร.,อร. จ้างซ่อมทำเครื่องใหญ่ ขวา - ซ้าย ตราอักษร MTU รุ่น 20V1163 TB83 ขั้น major OverHaul ร.ล.รัตนโกสินทร์,ซื้อ,59,พิเศษ,72800000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-20,บริษัท ยูพีเอส เอ็นจิน เซอร์วิส เซ็นเตอร์ จำกัด,,,ประเทศไทย,,,36,
ทร.,สยป.ทร. โครงการจัดหาเรือตรวจการณ์ชายฝั่ง จำนวน 5 ลำ,ซื้อ,59-61,พิเศษ,705000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-01,บริษัท มาร์ซัน จำกัด,,,ประเทศไทย,,,37,
ทร.,ขออนุมัติจ้างปรับปรุงเรือล่าทำลายทุ่นระเบิดใกล้ฝั่ง ชุด ร.ล.บางระจัน,จ้าง,59,พิเศษ,2749999995,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-03-22,บริษัท THALES UK Ltd. สหราชอาณาจักร บริเตนใหญ่และไอร์แลนด์เหนือ,,, สหราชอาณาจักร บริเตนใหญ่และไอร์แลนด์เหนือ,,,38,
ทอ.,ขออนุมัติจ้างเหมาบริการสนับสนุนเครื่องยนต์ และอุปกรณ์ Line Replacement Unit (LRUs) สำหรับ บ.ข.๒๐/ก,จ้าง,59,พิเศษ,1051810000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2015-09-24,องค์การรักษาความปลอดภัยด้านการส่งออกทางทหารสวีเดน (The Swedish Defence and Security Export Agency (F?rsvarsexportmynigheten : FXM))  ราชอาณาจักรสวีเดน,,,ราชอาณาจักรสวีเดน,,,39,
ทอ.,ขออนุมัติจ้างก่อสร้างอาคารรับรองบุคคลสำคัญที่ท่าอากาศยานทหาร 2 กองบิน 6,จ้าง,59,พิเศษ,96300000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-02-01,บริษัท อิตาเลียนไทย ดีเวล๊อปเมนต์ จำกัด(มหาชน),,,ประเทศไทย,,,40,
ทอ.,ชย.ทอ. สร้างโรงเก็บ บ.ปฏิบัติการสงครามอิเล็กทรอนิกส์ ที่ บน.7,จ้าง,59,พิเศษ,140000000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-02-07,บริษัท ทีมวิศว์ คอนสรัคชั่น จำกัด,,,ประเทศไทย,,,41,
ทอ.,ชย.ทอ. จ้างสร้างโรงตรวจซ่อม ฮ.พระราชพาหนะ พร้อมอุปกรณ์ และสิ่งอำนวยความสะดวก จำนวน 1 โรง,จ้าง,59-60,พิเศษ,96270000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-02-20,บริษัท ที.พี.เอส  วัสดุภัณฑ์ จำกัด,,,ประเทศไทย,,,42,
ทอ.,ชย.ทอ. งานติดตั้งระบบผลิตไฟฟ้าด้วยเซลล์แสงอาทิตย์ ขนาด ๑ เมกะวัตต์ ที่ บน.2,จ้าง,59,พิเศษ,61340000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-02-22,กิจการร่วมค้า สมาร์ทพาวเวอร์ เอ็นจีเนียริ่ง ไทยวิจิตรประภา,,,ประเทศไทย,,,43,
ทอ.,ชย.ทอ. งานติดตั้งระบบผลิตไฟฟ้าด้วยเซลล์แสงอาทิตย์ ขนาด ๑ เมกะวัตต์ น้ำพอง ที่ ฝูง.237,จ้าง,59,พิเศษ,61380000,รมว.กห.,รมว.กห.อนุมัติแล้ว, 2016-02-24,บริษัท ไทยรีนิวเอเบิล จำกัด,,,ประเทศไทย,,,44,
